TestNom1;TestPrenom1;Société 1;email1.test@truc.fr;Compte Groupama;
TestNom2;TestPrenom2;Société 2;email2.test@truc.fr;Compte Groupama;
TestNom3;TestPrenom3;Société 3;email3.test@truc.fr;Groupe MSA;
TestNom4;TestPrenom4;Société 4;email4.test@truc.fr;Mutuelle Générale;
TestNom5;TestPrenom5;Société 5;email5.test@truc.fr;OK;
TestNom6;TestPrenom6;Société 6;email6.test@truc.fr;OK;
TestNom7;TestPrenom7;Société 7;email7.test@truc.fr;OK;
TestNom8;TestPrenom8;Société 8;email8.test@truc.fr;OK;
TestNom9;TestPrenom9;Société 9;email9.test@truc.fr;OK;99-99-99-99-99
TestNom10;TestPrenom10;Société 10;email10.test@truc.fr;OK;
TestNom11;TestPrenom11;Société 11;email11.test@truc.fr;OK;
TestNom12;TestPrenom12;Société 12;email12.test@truc.fr;OK;
TestNom13;TestPrenom13;Société 13;email13.test@truc.fr;OK;
TestNom14;TestPrenom14;Société 14;email14.test@truc.fr;OK;14-14-14-14-14
TestNom15;TestPrenom15;Société 15;email15.test@truc.fr;OK;
TestNom16;TestPrenom16;Société 16;email16.test@truc.fr;OK;16-16-16-16-16
TestNom17;TestPrenom17;Société 17;email17.test@truc.fr;ajout;
TestNom18;TestPrenom18;Société 18;email18.test@truc.fr;Eiffage / Colas / Sodexo;
TestNom19;TestPrenom19;Société 19;email19.test@truc.fr;OK;
TestNom20;TestPrenom20;Société 20;email20.test@truc.fr;OK;
TestNom21;TestPrenom21;Société 21;email21.test@truc.fr;OK;
TestNom22;TestPrenom22;Société 22;email22.test@truc.fr;Compte Total;22-22-22-22-22
TestNom23;TestPrenom23;Société 23;email23.test@truc.fr;ajout;
